id,FsF_A1_01M_1_earned,FsF_A1_01M_earned,FsF_A1_02MD_1_earned,FsF_A1_02MD_2_earned,FsF_A1_02MD_earned,FsF_A1_1_01MD_1_earned,FsF_A1_1_01MD_2_earned,FsF_A1_1_01MD_earned,FsF_A1_2_01MD_1_earned,FsF_A1_2_01MD_2_earned,FsF_A1_2_01MD_earned,FsF_F1_01MD_1_earned,FsF_F1_01MD_2_earned,FsF_F1_01MD_earned,FsF_F1_02MD_1_earned,FsF_F1_02MD_2_earned,FsF_F1_02MD_4_earned,FsF_F1_02MD_5_earned,FsF_F1_02MD_earned,FsF_F2_01M_2_earned,FsF_F2_01M_3_earned,FsF_F2_01M_earned,FsF_F3_01M_2_earned,FsF_F3_01M_earned,FsF_F4_01M_1_earned,FsF_F4_01M_earned,FsF_I1_01M_1_earned,FsF_I1_01M_2_earned,FsF_I1_01M_earned,FsF_I2_01M_2_earned,FsF_I2_01M_earned,FsF_I3_01M_1_earned,FsF_I3_01M_2_earned,FsF_I3_01M_earned,FsF_R1_01M_1_earned,FsF_R1_01M_2_earned,FsF_R1_01M_3_earned,FsF_R1_01M_earned,FsF_R1_1_01M_1_earned,FsF_R1_1_01M_earned,FsF_R1_2_01M_1_earned,FsF_R1_2_01M_2_earned,FsF_R1_2_01M_earned,FsF_R1_3_01M_1_earned,FsF_R1_3_01M_3_earned,FsF_R1_3_01M_earned,FsF_R1_3_02D_1_earned,FsF_R1_3_02D_earned,score_earned_A,score_earned_A1,score_earned_A1_1,score_earned_A1_2,score_earned_F,score_earned_F1,score_earned_F2,score_earned_F3,score_earned_F4,score_earned_FAIR,score_earned_I,score_earned_I1,score_earned_I2,score_earned_I3,score_earned_R,score_earned_R1,score_earned_R1_1,score_earned_R1_2,score_earned_R1_3
bioportal-apo,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
bioportal-nmr,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
bioportal-sio,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-fypo,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-mod,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-imr,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
bioportal-nif_cell,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-wbphenotype,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
jita,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
bioportal-efo,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-aeo,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-rex,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-geospecies,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-chebi,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-rnao,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-lipro,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-hao,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-fbdv,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-fbbt,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-bto,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-ncbitaxon,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-pw,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-ogi,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-ev,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
bioportal-ehdaa,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-mmo,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-ido,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-cheminf,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-npo,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
chempedia-rdf,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
bioportal-mego,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
addgene,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,1,1,3.0,1.0,0,0,2,7.0,0,0,0,0,1,0,0,0,1
bioportal-exo,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-uo,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
bioportal-pato,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
kupkb,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
entrez_gene,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,1,1,3.0,1.0,0,0,2,7.0,0,0,0,0,1,0,0,0,1
bioportal-mcbcc,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-oboe,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-snpo,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-sao,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
fu-berlin-stitch,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
bioportal-cl,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-bp,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-bdo,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
biosamples-rdf,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,3,1,1,1,3.0,1.0,0,0,2,11.0,2,2,0,0,3,1,0,1,1
bioportal-ecg,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
fu-berlin-dailymed,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
PGxLOD,0,0,1,1,2,1,1,2,1,1,2,1,0,1,0.0,0.0,0,0,0.0,0,0,0,1,1,2,2,2,0,2,0,0,2,2,2,1,0,0,1,1,1,1,0,1,0,1,1,0,0,6,2,2,2,4.0,1.0,0,1,2,18.0,4,2,0,2,4,1,1,1,1
gene-expression-atlas-rdf,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
yale_senselab,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
arrayexpress-e-afmx-1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,3.0,1.0,0,0,2,10.0,2,2,0,0,2,1,0,0,1
biolod-pdb,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
bioportal-icf_x1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
cz-sidc-drug-ingredients,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
chem2bio2rdf,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
Naturopathy,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
bioportal-mdr,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-spto,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-ddi,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
Hermos,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,3,1,1,1,3.0,1.0,0,0,2,11.0,2,2,0,0,3,1,0,1,1
bioportal-mpath,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
bioportal-jerm,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1.0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0
bioportal-phare,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.0,1.0,0,0,0,9.0,4,2,2,0,1,1,0,0,0
