id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
education-data-gov-uk,education.data.gov.uk,http://education.data.gov.uk/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.05
research-data-gov-uk,research.data.gov.uk,http://research.data.gov.uk/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
government-web-integration-for-linked-data,GovWILD - Government Web Integration for Linked Data,http://govwild.hpi-web.de/project/govwild-sources.html,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
opendatacommunities-wellbeing-lsoa-happy-yesterday-mean,opendatacommunities-wellbeing-lsoa-happy-yesterday-mean,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
transport-data-gov-uk,transport.data.gov.uk,http://transport.data.gov.uk/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.05
opendatacommunities-transparency-impact-indicators-households-in-temporary-accommodation,opendatacommunities-transparency-impact-indicators-households-in-temporary-accommodation,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
london-gazette,The London Gazette - Gazettes Data,http://www.london-gazette.co.uk/mashup/gazettesdata.htm,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
opendatacommunities-imd-rank-2010,opendatacommunities-imd-rank-2010,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
opendatacommunities-societal-wellbeing-deprivation-imd-rank-2010,opendatacommunities-societal-wellbeing-deprivation-imd-rank-2010,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
opendatascotland-simd-crime-rank,opendatascotland-simd-crime-rank,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
gemet,GEneral Multilingual Environmental Thesaurus,http://www.eionet.europa.eu/gemet/,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
umthes,UMTHES,https://sns.uba.de/umthes/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
cz-ctia-focus,Focus of the Czech Trade Inspection Authority's inspections,http://linked.opendata.cz/resource/dataset/coi.cz/zamereni,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,1,1,0.75,1,1,0,1,0.75,2.78
cz-ctia-inspections,Inspections of the Czech Trade Inspection Authority,http://linked.opendata.cz/resource/dataset/coi.cz/kontroly,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,1,1,0.75,1,1,0,1,0.75,2.78
cz-czso-regions,Structure of regions of Czech Republic according to Czech Statistical Office,http://data.czso.cz/resource/dataset/regions,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
cz-ovm-agendas,Agendas of institutions of public power of the Czech Republic,http://linked.opendata.cz/resource/dataset/seznam.gov.cz/agendy,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
cz-ovm,Institutions of public power of the Czech Republic,https://linked.opendata.cz/zdroj/datová-sada/ovm,1,0.096,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,0.529411765,1,0.88,3.73
ocd,Italian Chamber of Deputies - official dataset,absent,1,0,1,0.89,1,1,0.82,1,1,1,1,1,1,1,0,1,0.75,0,1,0,1,0.5,3.07
opendatacommunities-impact-indicators-energy-efficiency-new-builds,opendatacommunities-impact-indicators-energy-efficiency-new-builds,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
prelex,PreLex,http://prelex.publicdata.eu/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.55
environment-agency-bathing-water-quality,Environment Agency Bathing Water Quality,,,,,,,,,,,,,,,,,,,,,,,,
cz-ic,Czech Business Entity identification numbers and names,https://linked.opendata.cz/zdroj/datová-sada/seznam-ič,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.05
