id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
bioportal-nif,NIFSTD,http://bioportal.bioontology.org/ontologies/1084,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-nif_cell,NIF Cell,http://bioportal.bioontology.org/ontologies/1402,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-nif_dysfunction,NIF Dysfunction,http://bioportal.bioontology.org/ontologies/1381,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-npo,NanoParticle Ontology,http://bioportal.bioontology.org/ontologies/1083,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-oae,Ontology of Adverse Events (OAE),http://bioportal.bioontology.org/ontologies/1489,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-obi,Ontology for Biomedical Investigations,http://bioportal.bioontology.org/ontologies/1123,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-odgi,Ontology for disease genetic investigation,http://bioportal.bioontology.org/ontologies/1086,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-ogi,Ontology for Genetic Interval,http://bioportal.bioontology.org/ontologies/1100,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-ogms,Ontology for General Medical Science,http://bioportal.bioontology.org/ontologies/1414,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-omrse,Ontology of Medically Related Social Entities,http://bioportal.bioontology.org/ontologies/1565,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.51
bioportal-ontodm,Ontology of Data Mining,http://bioportal.bioontology.org/ontologies/1638,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-opl,Ontology for Parasite LifeCycle,http://bioportal.bioontology.org/ontologies/1190,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-rcd,"Read Codes, Clinical Terms Version 3 (CTV3)",http://bioportal.bioontology.org/ontologies/1427,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-rid,RadLex,http://bioportal.bioontology.org/ontologies/1057,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-rnao,RNA ontology,http://bioportal.bioontology.org/ontologies/1500,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-sao,Subcellular Anatomy Ontology (SAO),http://bioportal.bioontology.org/ontologies/1068,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-sdo,Sleep Domain Ontology,http://bioportal.bioontology.org/ontologies/1651,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-sio,SemanticScience Integrated Ontology,http://bioportal.bioontology.org/ontologies/1532,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
bioportal-snomedct,SNOMED Clinical Terms,http://bioportal.bioontology.org/ontologies/1353,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-sopharm,Suggested Ontology for Pharmacogenomics,http://bioportal.bioontology.org/ontologies/1061,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-teo,Time Event Ontology,http://bioportal.bioontology.org/ontologies/3042,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-tmo,Translational Medicine Ontology,http://bioportal.bioontology.org/ontologies/1461,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-vo,Vaccine Ontology,http://bioportal.bioontology.org/ontologies/1172,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-dc_cl,Dendritic cell,http://bioportal.bioontology.org/ontologies/1144,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-bto,BRENDA tissue / enzyme source,http://bioportal.bioontology.org/ontologies/1005,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-cco,Cell Cycle Ontology,http://bioportal.bioontology.org/ontologies/1507,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-cl,Cell type,http://bioportal.bioontology.org/ontologies/1006,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
bioportal-csp,"CRISP Thesaurus, 2006",http://bioportal.bioontology.org/ontologies/1526,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
