id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
linked-logainm,Linked Logainm,absent,1,0.5044,1,0.89,1,1,0.9,1,1,1,1,1,1,1,0,1,0.75,0,1,0,1,0.5,3.15
yahoo_geoplanet,Yahoo Geoplanet RDF,http://kasabi.com/dataset/yahoo-geoplanet,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
ordnance-survey-linked-data,Ordnance Survey Linked Data,http://data.ordnancesurvey.co.uk/,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
telegraphis,Telegraphis Linked Data,http://telegraphis.net/data/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.05
GTS,Geological Timescale,https://github.com/CGI-IUGS/timescale-data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.75,0,1,0,1,0.5,3.25
Earthquake,Emergency situation,https://raw.githubusercontent.com/sonia04021991/Ontology,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
grrt,Accommodations in Tuscany (LinkedOpenData.it),http://www.linkedopendata.it/datasets/grrt,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
statusnet-coreyavis-com,statusnet-coreyavis-com,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
greek-administrative-geography,greek-administrative-geography,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
geowordnet,GeoWordNet,http://geowordnet.semanticmatching.org/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
