KG id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,FAIR score
dbtune-audioscrobbler,DBTune.org AudioScrobbler RDF Service,,1,0,1,0.22,0,1,0.54,0,1,0,1,0.5,1,0,0,1,0.5,0,1,1,0,0.5,2.04
dbtune-classical,DBTune.org/classical,http://dbtune.org/classical/sparql/,1,0,1,0.44,0,1,0.57,0.5,1,0,1,0.62,1,0,0,1,0.5,0,1,1,0,0.5,2.19
dbtune-john-peel-sessions,DBTune.org John Peel sessions RDF server,http://dbtune.org/bbc/peel/sparql/,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,0,1,1,0,0.5,2.34
dbtune-magnatune,DBTune.org Magnatune RDF server,http://dbtune.org/magnatune/sparql/,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,0,1,1,0,0.5,2.34
dbtune-musicbrainz,DBTune.org Musicbrainz D2R Server,http://dbtune.org/musicbrainz/sparql,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,1,0.5,0,1,1,0,0.5,2.07
dbtune-myspace,DBTune.org MySpace RDF Service,http://dbtune.org/myspace/sparql/,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,1,0.5,0,1,1,0,0.5,2.07
deutsche-biographie,Deutsche Biographie,https://data.deutsche-biographie.de/about/#sparql,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,0,1,1,0,0.5,2.34
deutsche-nationalbibliografie-dnb,Deutsche Nationalbibliografie (DNB),,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.59
dm2e,DM2E,,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,1,0.5,1,1,1,0,0.75,2.32
dnb-gemeinsame-normdatei,Gemeinsame Normdatei (GND),,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.59
dutch-ships-and-sailors,Dutch Ships and Sailors,https://dutchshipsandsailors.nl/?page_id=50,1,0,1,0.56,0,1,0.59,0.5,1,0,1,0.62,1,0,0,1,0.5,1,1,1,0,0.75,2.46
ecco-tcp-linked-data,ECCO-TCP Eighteenth Century Texts Linked Data,http://api.kasabi.com/dataset/ecco-tcp-eighteenth-century-collections-online-texts/apis/sparql,1,0,1,0.56,0,1,0.59,0.5,1,0,1,0.62,1,1,0,1,0.75,1,1,1,1,1,2.96
