id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
mismuseos-gnoss,"Mis Museos, índice semántico de museos, artistas y obras de arte (GNOSS)",http://mismuseos.net/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
zbw-pressemappe20,20th Century Press Archives,http://zbw.eu/beta/p20,1,0.0002,1,0.67,1,1,0.78,1,1,1,1,1,0,1,0,1,0.5,0,1,0,1,0.5,2.78
freeyork-org,Freeyork,https://freeyork.org/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
fu-berlin-project-gutenberg,Project Gutenberg in RDF (FU Berlin),http://www4.wiwiss.fu-berlin.de/gutendata/,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
zbw-labs,ZBW Labs,absent,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
libris,LIBRIS,http://libris.kb.se,1,0.2,1,0.89,1,1,0.85,1,1,1,1,1,1,1,0,1,0.75,0,1,0,1,0.5,3.1
viaf,VIAF: The Virtual International Authority File,http://viaf.org/viaf/data/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
rkb-explorer-budapest,Budapest University of Technology and Economics (RKBExplorer),http://budapest.rkbexplorer.com/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-courseware,Resilient Computing Courseware (RKBExplorer),http://courseware.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-deepblue,Deep Blue (RKBExplorer),http://deepblue.rkbexplorer.com,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
rkb-explorer-dotac,dotAC (RKBExplorer),http://dotac.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-epsrc,epsrc,http://epsrc.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-eurecom,Institut Eurécom (RKBExplorer),http://eurecom.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-ft,France Telecom Recherche et Développement (RKBExplorer),http://ft.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-ibm,IBM Research GmbH (RKBExplorer),http://ibm.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-ieee,IEEE Papers (RKBExplorer),http://ieee.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-kisti,Korean Institute of Science Technology and Information (RKBExplorer),http://kisti.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-laas,LAAS-CNRS (RKBExplorer),http://laas.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-oai,Open Archive Initiative Harvest over OAI-PMH (RKBExplorer),http://oai.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,1,1,0.75,1,1,0,1,0.75,2.78
rkb-explorer-pisa,Università di Pisa (RKBExplorer),http://pisa.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-resex,ReSIST Resilience Mechanisms (RKBExplorer.com),http://resex.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-risks,RISKS Digest (RKBExplorer),http://risks.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-roma,"Università degli studi di Roma ""La Sapienza"" (RKBExplorer)",http://roma.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
rkb-explorer-ulm,Universität Ulm (RKBExplorer),http://ulm.rkbexplorer.com,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
southampton-ecs-eprints,ECS Southampton EPrints,http://eprints.ecs.soton.ac.uk/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.03
