id,processed_url,score_F1A,score_F1B,score_F2A,score_F2B,score_A1.1,score_A1.2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,total_A,total_I,total_R,score_total
ontos-news-portal,https://lod-cloud.net/dataset/ontos-news-portal,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
zhishi-me,https://lod-cloud.net/dataset/zhishi-me,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
omwn-bul,https://lod-cloud.net/dataset/omwn-bul,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
olac,https://lod-cloud.net/dataset/olac,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
VelezIndexTotiusArtis,https://lod-cloud.net/dataset/VelezIndexTotiusArtis,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
LASLA,https://lod-cloud.net/dataset/LASLA,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
AugustiniConfessiones,https://lod-cloud.net/dataset/AugustiniConfessiones,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
CompHistSem,https://lod-cloud.net/dataset/CompHistSem,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
CorpusFibonacci,https://lod-cloud.net/dataset/CorpusFibonacci,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
DanteLatinLoanwords,https://lod-cloud.net/dataset/DanteLatinLoanwords,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
IGVLL,https://lod-cloud.net/dataset/IGVLL,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
IndexThomisticusTreebank,https://lod-cloud.net/dataset/IndexThomisticusTreebank,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
LatinAffectus,https://lod-cloud.net/dataset/LatinAffectus,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-finnish,https://lod-cloud.net/dataset/universal-dependencies-treebank-finnish,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
eurosentiment,https://lod-cloud.net/dataset/eurosentiment,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
