id,processed_url,score_F1A,score_F1B,score_F2A,score_F2B,score_A1.1,score_A1.2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,total_A,total_I,total_R,score_total
bioportal-snomedct,https://lod-cloud.net/dataset/bioportal-snomedct,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-sopharm,https://lod-cloud.net/dataset/bioportal-sopharm,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-teo,https://lod-cloud.net/dataset/bioportal-teo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-tmo,https://lod-cloud.net/dataset/bioportal-tmo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-vo,https://lod-cloud.net/dataset/bioportal-vo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-dc_cl,https://lod-cloud.net/dataset/bioportal-dc_cl,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-bto,https://lod-cloud.net/dataset/bioportal-bto,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-cco,https://lod-cloud.net/dataset/bioportal-cco,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-cl,https://lod-cloud.net/dataset/bioportal-cl,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-csp,https://lod-cloud.net/dataset/bioportal-csp,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-efo,https://lod-cloud.net/dataset/bioportal-efo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ev,https://lod-cloud.net/dataset/bioportal-ev,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-imr,https://lod-cloud.net/dataset/bioportal-imr,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ma,https://lod-cloud.net/dataset/bioportal-ma,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-mccl_x1,https://lod-cloud.net/dataset/bioportal-mccl_x1,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-mesh-owl,https://lod-cloud.net/dataset/bioportal-mesh-owl,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-msh,https://lod-cloud.net/dataset/bioportal-msh,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-omim,https://lod-cloud.net/dataset/bioportal-omim,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-pr,https://lod-cloud.net/dataset/bioportal-pr,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-tao,https://lod-cloud.net/dataset/bioportal-tao,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-uberon,https://lod-cloud.net/dataset/bioportal-uberon,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-vhog,https://lod-cloud.net/dataset/bioportal-vhog,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-xao,https://lod-cloud.net/dataset/bioportal-xao,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-zfa,https://lod-cloud.net/dataset/bioportal-zfa,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bio2rdf-gendr,https://lod-cloud.net/dataset/bio2rdf-gendr,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
bio2rdf-ncbigene,https://lod-cloud.net/dataset/bio2rdf-ncbigene,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
bio2rdf-pubmed,https://lod-cloud.net/dataset/bio2rdf-pubmed,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
bio2rdf-taxonomy,https://lod-cloud.net/dataset/bio2rdf-taxonomy,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
bio2rdf-wormbase,https://lod-cloud.net/dataset/bio2rdf-wormbase,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
bioportal-bp,https://lod-cloud.net/dataset/bioportal-bp,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-chem2bio2owl,https://lod-cloud.net/dataset/bioportal-chem2bio2owl,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-dikb-evidence,https://lod-cloud.net/dataset/bioportal-dikb-evidence,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-mi,https://lod-cloud.net/dataset/bioportal-mi,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-sbo,https://lod-cloud.net/dataset/bioportal-sbo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-roleo,https://lod-cloud.net/dataset/bioportal-roleo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-hl7,https://lod-cloud.net/dataset/bioportal-hl7,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-icnp,https://lod-cloud.net/dataset/bioportal-icnp,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
eagle-i-dartmouth,https://lod-cloud.net/dataset/eagle-i-dartmouth,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
bioportal-bro_x1,https://lod-cloud.net/dataset/bioportal-bro_x1,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-go_x2,https://lod-cloud.net/dataset/bioportal-go_x2,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-ncbitaxon,https://lod-cloud.net/dataset/bioportal-ncbitaxon,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ocre,https://lod-cloud.net/dataset/bioportal-ocre,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-so_x1,https://lod-cloud.net/dataset/bioportal-so_x1,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-swo,https://lod-cloud.net/dataset/bioportal-swo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-vivo,https://lod-cloud.net/dataset/bioportal-vivo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-mo,https://lod-cloud.net/dataset/bioportal-mo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ep,https://lod-cloud.net/dataset/bioportal-ep,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-jerm,https://lod-cloud.net/dataset/bioportal-jerm,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-oboe-sbc,https://lod-cloud.net/dataset/bioportal-oboe-sbc,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-pato,https://lod-cloud.net/dataset/bioportal-pato,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-pma,https://lod-cloud.net/dataset/bioportal-pma,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-uo,https://lod-cloud.net/dataset/bioportal-uo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
eagle-i-utsa,https://lod-cloud.net/dataset/eagle-i-utsa,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
bioportal-bootstrep,https://lod-cloud.net/dataset/bioportal-bootstrep,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
