id,processed_url,score_F1A,score_F1B,score_F2A,score_F2B,score_A1.1,score_A1.2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,total_A,total_I,total_R,score_total
ysa,https://lod-cloud.net/dataset/ysa,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
verrijktkoninkrijk,https://lod-cloud.net/dataset/verrijktkoninkrijk,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
data-hnm-hu,https://lod-cloud.net/dataset/data-hnm-hu,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
BibSonomy,https://lod-cloud.net/dataset/BibSonomy,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
radatana,https://lod-cloud.net/dataset/radatana,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
national-library-of-greece-authority-records,https://lod-cloud.net/dataset/national-library-of-greece-authority-records,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
scholarometer,https://lod-cloud.net/dataset/scholarometer,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
linked-periodicals,https://lod-cloud.net/dataset/linked-periodicals,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
thesesfr,https://lod-cloud.net/dataset/thesesfr,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
wordlift-io-blog-en,https://lod-cloud.net/dataset/wordlift-io-blog-en,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
swedish-open-cultural-heritage,https://lod-cloud.net/dataset/swedish-open-cultural-heritage,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
vivo-university-of-florida,https://lod-cloud.net/dataset/vivo-university-of-florida,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
lista-encabezamientos-materia,https://lod-cloud.net/dataset/lista-encabezamientos-materia,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
morelab,https://lod-cloud.net/dataset/morelab,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
eprints-harvest-rkbexplorer,https://lod-cloud.net/dataset/eprints-harvest-rkbexplorer,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
msc,https://lod-cloud.net/dataset/msc,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
sztaki-lod,https://lod-cloud.net/dataset/sztaki-lod,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
jita,https://lod-cloud.net/dataset/jita,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
italian-public-schools-linkedopendata-it,https://lod-cloud.net/dataset/italian-public-schools-linkedopendata-it,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
rkb-explorer-gdlc,https://lod-cloud.net/dataset/rkb-explorer-gdlc,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
deutsche-nationalbibliografie-dnb,https://lod-cloud.net/dataset/deutsche-nationalbibliografie-dnb,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
agris,https://lod-cloud.net/dataset/agris,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
bibbase,https://lod-cloud.net/dataset/bibbase,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
the-european-library-open-dataset,https://lod-cloud.net/dataset/the-european-library-open-dataset,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
lcsubjects,https://lod-cloud.net/dataset/lcsubjects,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
stitch-rameau,https://lod-cloud.net/dataset/stitch-rameau,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
nvd,https://lod-cloud.net/dataset/nvd,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
tharawat-magazine-com,https://lod-cloud.net/dataset/tharawat-magazine-com,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
vivo-indiana-university,https://lod-cloud.net/dataset/vivo-indiana-university,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
rkb-explorer-kaunas,https://lod-cloud.net/dataset/rkb-explorer-kaunas,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
vivo2doi,https://lod-cloud.net/dataset/vivo2doi,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
rkb-explorer-photos,https://lod-cloud.net/dataset/rkb-explorer-photos,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
ntnusc,https://lod-cloud.net/dataset/ntnusc,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
princeton-library-findingaids,https://lod-cloud.net/dataset/princeton-library-findingaids,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-os,https://lod-cloud.net/dataset/rkb-explorer-os,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
bncf-ns,https://lod-cloud.net/dataset/bncf-ns,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
psh-subject-headings,https://lod-cloud.net/dataset/psh-subject-headings,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
twc-ieeevis,https://lod-cloud.net/dataset/twc-ieeevis,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
springernaturescigraph,https://lod-cloud.net/dataset/springernaturescigraph,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
datos-artium-org,https://lod-cloud.net/dataset/datos-artium-org,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dev8d,https://lod-cloud.net/dataset/dev8d,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
