id,title,original_url,score_F1A,score_F1B,score_F2,score_F3,score_F4,score_A1.1,score_A1.2,score_A2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,avg_F,total_A,avg_A,total_I,avg_I,total_R,avg_R,score_total,score_avg
bioportal-bto,BRENDA tissue / enzyme source,https://bioportal.bioontology.org/ontologies/BTO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-ncbitaxon,NCBI organismal classification,https://bioportal.bioontology.org/ontologies/NCBITAXON,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-pw,Pathway ontology,https://bioportal.bioontology.org/ontologies/PW,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-ogi,Ontology for Genetic Interval,https://bioportal.bioontology.org/ontologies/OGI,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-ev,eVOC (Expressed Sequence Annotation for Humans),https://old.datahub.io/bg/dataset/bioportal-ev,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bioportal-ehdaa,"Human developmental anatomy, abstract version",https://bioportal.bioontology.org/ontologies/EHDAA,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-mmo,Measurement Method Ontology,https://bioportal.bioontology.org/ontologies/MMO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-ido,Infectious Disease Ontology,https://bioportal.bioontology.org/ontologies/IDO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-cheminf,Chemical Information Ontology,https://bioportal.bioontology.org/ontologies/CHEMINF,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-npo,NanoParticle Ontology,https://bioportal.bioontology.org/ontologies/NPO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
chempedia-rdf,ChemPedia RDF,http://figshare.com/articles/ChemPedia_as_RDF/681678,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-mego,MeGO,https://bioportal.bioontology.org/ontologies/MEGO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
addgene,Addgene,http://www.addgene.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bioportal-exo,ExO,https://bioportal.bioontology.org/ontologies/EXO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-uo,Units of measurement,https://bioportal.bioontology.org/ontologies/UO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-pato,Phenotypic quality,https://bioportal.bioontology.org/ontologies/PATO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
kupkb,Kidney and Urinary Pathway Knowledge Base,http://www.kupkb.org,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
entrez_gene,Entrez Gene,http://www.ncbi.nlm.nih.gov/gene,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bioportal-mcbcc,Breast tissue cell lines,https://bioportal.bioontology.org/ontologies/MCBCC,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-oboe,OBOE,https://bioportal.bioontology.org/ontologies/OBOE,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-snpo,SNP-Ontology,https://bioportal.bioontology.org/ontologies/SNPO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-sao,Subcellular Anatomy Ontology (SAO),https://bioportal.bioontology.org/ontologies/SAO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
fu-berlin-stitch,STITCH: Chemical-Protein Interactions,http://www4.wiwiss.fu-berlin.de/stitch/,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-cl,Cell type,https://bioportal.bioontology.org/ontologies/CL,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-bp,BioPAX,https://bioportal.bioontology.org/ontologies/BP,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-bdo,Bone Dysplasia Ontology,https://bioportal.bioontology.org/ontologies/BDO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
biosamples-rdf,BioSamples RDF,https://www.ebi.ac.uk/biosamples/,2,0,,,,2,0,,1,2,0,0,2,2,5,1.25,2,1,3,1,4,1.333,14,1.167
bioportal-ecg,Electrocardiography Ontology,https://bioportal.bioontology.org/ontologies/ECG,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
fu-berlin-dailymed,DailyMed,http://www4.wiwiss.fu-berlin.de/dailymed/,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
PGxLOD,PGxLOD,https://pgxlod.loria.fr/,2,0,,,,2,2,,1,2,2,2,2,2,5,1.25,4,2,5,1.667,6,2,20,1.667
gene-expression-atlas-rdf,Gene Expression Atlas RDF,http://www.ebi.ac.uk/rdf/services/atlas,0,0,,,,0,0,,1,2,0,0,0,2,3,0.75,0,0,3,1,2,0.667,8,0.667
yale_senselab,Yale Senselab,http://neuroweb.med.yale.edu/senselab/,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
arrayexpress-e-afmx-1,"Transcription profiling of human, chimp and mouse brain",https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-AFMX-1,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
biolod-pdb,BioLOD for Protein Data Bank Japan,http://biolod.org/database/ria1i/Protein_Data_Bank,0,0,,,,2,0,,1,1,0,0,0,1,2,0.5,2,1,2,0.667,1,0.333,7,0.583
bioportal-icf_x1,"International Classification of Functioning, Disability and Health (ICF)",https://bioportal.bioontology.org/ontologies/ICF,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
cz-sidc-drug-ingredients,Active ingredients of medicinal products available in Czech Republic,http://linked.opendata.cz/resource/dataset/sukl/drug-ingredients,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
chem2bio2rdf,Chem2Bio2RDF,http://chem2bio2rdf.org,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
Naturopathy,Naturopathy Knowledge Graph (Ontology and Dataset) - RDF distribution of the naturopathy dataset.,http://sensormeasurement.appspot.com/dataset/naturopathy-dataset,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bioportal-mdr,MedDRA,https://bioportal.bioontology.org/ontologies/MEDDRA,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-spto,Solanaceae Phenotype Ontology,https://bioportal.bioontology.org/ontologies/SPTO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-ddi,Ontology for Drug Discovery Investigations,https://bioportal.bioontology.org/ontologies/DDI,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
Hermos,Hermos,https://mcbu-semanticweb-lab.github.io/hermos/,2,0,,,,2,0,,1,1,0,0,0,1,4,1,2,1,2,0.667,1,0.333,9,0.75
bioportal-mpath,Mouse pathology,https://bioportal.bioontology.org/ontologies/MPATH,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-jerm,SysMO-JERM,https://old.datahub.io/dataset/bioportal-jerm,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bioportal-phare,PHARE,https://bioportal.bioontology.org/ontologies/PHARE,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
disgenet,DisGeNET,https://maayanlab.cloud/Harmonizome/dataset/DisGeNET+Gene-Disease+Associations,2,0,,,,2,0,,1,2,0,0,2,2,5,1.25,2,1,3,1,4,1.333,14,1.167
cz-sidc-drugs,Medicinal products marketed in Czech Republic,http://linked.opendata.cz/resource/dataset/sukl/drugs,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
cz-eh-1-atc,ATC groups,https://bioportal.bioontology.org/ontologies/ATC,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-nigo,Neural-Immune Gene Ontology,https://bioportal.bioontology.org/ontologies/NIGO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
PubChem RDF,PubChem RDF,https://pubchem.ncbi.nlm.nih.gov/,2,0,,,,2,0,,1,2,0,0,0,2,5,1.25,2,1,3,1,2,0.667,12,1
bioportal-gro,Cereal Plant Development,http://bioportal.bioontology.org/ontologies/1047,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-unitsontology,Units Ontology,https://bioportal.bioontology.org/ontologies/UNITSONT,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-ogmd,Ontology of Glucose Metabolism Disorder,https://bioportal.bioontology.org/ontologies/OGMD,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-nddf,National Drug Data File,https://bioportal.bioontology.org/ontologies/NDDF,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-mo,MGED Ontology,https://bioportal.bioontology.org/ontologies/MO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-ms,Mass spectrometry,https://bioportal.bioontology.org/ontologies/MS,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
linked-drugs,LinkedDrugs: Linked Drug Product Data on a Global Scale,http://drugs.linkeddata.finki.ukim.mk/,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
ontobeef-domain,OntoBeef Domain,http://onto.beef.org.pl/ontobeef,0,0,,,,0,0,,1,0,0,0,0,0,1,0.25,0,0,1,0.333,0,0,2,0.167
bioportal-ndfrt,National Drug File,https://bioportal.bioontology.org/ontologies/NDFRT,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-ontoorpha,Orphanet Ontology of Rare Diseases,https://bioportal.bioontology.org/ontologies/ORDO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-air,AI/RHEUM,https://bioportal.bioontology.org/ontologies/AI-RHEUM,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-bcgo,Breast Cancer Grading Ontology,https://bioportal.bioontology.org/ontologies/BCGO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
ogolod,Orthology and Diseases Information - OGO,http://miuras.inf.um.es/~ogo/ogolod.html,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-hugo,HUGO,https://bioportal.bioontology.org/ontologies/HGNC,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-neomark,Neomark Oral Cancer Ontology,https://bioportal.bioontology.org/ontologies/NEOMARK3  https://bioportal.bioontology.org/ontologies/NEOMARK4,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-pdq,Physician Data Query,https://bioportal.bioontology.org/ontologies/PDQ,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal-cogat,Cognitive Atlas,https://bioportal.bioontology.org/ontologies/COGAT,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bio2rdf-affymetrix,Affymetrix,https://www.thermofisher.com,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
