id,title,original_url,score_F1A,score_F1B,score_F2,score_F3,score_F4,score_A1.1,score_A1.2,score_A2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,avg_F,total_A,avg_A,total_I,avg_I,total_R,avg_R,score_total,score_avg
ehda,"Human developmental anatomy, timed version",https://bioportal.bioontology.org/ontologies/EHDA,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
flu,Influenza Ontology,https://bioportal.bioontology.org/ontologies/FLU,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
loggerhead,Loggerhead nesting,https://bioportal.bioontology.org/ontologies/LHN,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
pd_st,Platynereis stage ontology,http://4dx.embl.de/platy,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
propreo,Proteomics data and process provece,http://lsdis.cs.uga.edu/projects/glycomics/propreo/,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
resid,Protein covalent bond,http://www.ebi.ac.uk/RESID/,0,0,,,,0,0,,1,2,0,0,0,2,3,0.75,0,0,3,1,2,0.667,8,0.667
sopharm,Suggested Ontology for Pharmacogenomics,https://bioportal.bioontology.org/ontologies/SOPHARM,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
tahe,Terminology of Anatomy of Human Embryology,https://www.ucl.ac.uk/anatomy,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
tahh,Terminology of Anatomy of Human Histology,https://www.ucl.ac.uk/anatomy,,,,,,,,,,,,,,,,,,,,,,,2,0.167
bci,Brain-Computer Interface Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/bci,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
biol,Biological Taxonomy Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/biol,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
biopax,BioPAX Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/biopax,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
biotop,Biology Upper-Level Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/biotop,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
cochrane,Cochrane Core Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/cochrane,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
cocoon,Cocoon Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/cocoon,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
dataid,DataID Core Vocabulary,https://lov.linkeddata.es/dataset/lov/vocabs/dataid,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
dbm,DBM Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/dbm,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
dbpedia-owl,DBpedia Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/dbpedia-owl,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
hifm,HIFM Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/hifm,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
hosp,Healthcare Provider Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/hosp,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
incident,RESC Incident Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/incident,,,,,,,,,,,,,,,,,,,,,,,,
lsc,Linked Science Core Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/lsc,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
ofo,OFO (Open Food Ontology),https://lov.linkeddata.es/dataset/lov/vocabs/ofo,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
omnlc,OMN Lifecycle Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/omnlc,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
person,Person Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/person,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
pext,PROTONext Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/pext,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
phdd,PHDD Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/phdd,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
pimsii,PIMS-II Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/pimsii,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
plink,PersonLink Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/plink,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
pmofn,PREMON Functional Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/pmofn,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
pmonb,PREMON Neural Behavior Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/pmonb,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
pmopb,PREMON Physical Behavior Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/pmopb,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
pmovn,PREMON Visual Neuroscience Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/pmovn,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
s4ehaw,SAREF4EHAW (eHealth and Ageing Well) Extension,https://lov.linkeddata.es/dataset/lov/vocabs/s4ehaw,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
sbeo,SBEO (Systems Biology Evidence Ontology),https://lov.linkeddata.es/dataset/lov/vocabs/sbeo,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
scip,Scientific People Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/scip,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
scoro,SCORO (Scientific Communication Roles) Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/scoro,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
tax,EU Taxonomy Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/tax,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
taxon,Biodiversity Taxon Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/taxon,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
wikibase,Wikidata Ontology,https://lov.linkeddata.es/dataset/lov/vocabs/wikibase,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
mammalian-phenotype-ontology,Mammalian Phenotype Ontology,http://obofoundry.org/ontology/mp.html,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
drosophila-anatomy-developmental-ontology,Drosophila Anatomy & Developmental Ontology,http://obofoundry.org/ontology/fbbt.html,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
geno-ontology,GENO Ontology,http://obofoundry.org/ontology/geno.html,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
sem-prov-ontologies,Semi‑PROV Ontologies,https://dataoneorg.github.io/sem-prov-ontologies,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
semanticchemistry,semanticchemistry,http://semanticchemistry.github.io/semanticchemistry,2,0,,,,2,0,,1,1,0,0,0,1,4,1,2,1,2,0.667,1,0.333,9,0.75
environmental-exposure-ontology,Environmental Exposure Ontology,http://obofoundry.org/ontology/exo.html,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
mental-functioning-ontology,Mental Functioning Ontology,https://bioportal.bioontology.org/ontologies/MF,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bio-attribute-ontology,Bio‑Attribute Ontology,http://obofoundry.org/ontology/oba.html,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
behavior-ontology,Behavior Ontology,http://obofoundry.org/ontology/nbo.html,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
crop-ontology,Crop Ontology,http://www.cropontology.org/,,,,,,,,,,,,,,,,,,,,,,,,
humandiseaseontology,Human Disease Ontology,https://bioportal.bioontology.org/ontologies/DOID,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
human-phenotype-ontology,Human Phenotype Ontology,https://bioportal.bioontology.org/ontologies/HP,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
go-ontology,Gene Ontology,https://bioportal.bioontology.org/ontologies/GO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
cell-ontology,Cell Ontology,http://obofoundry.org/ontology/cl.html,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bbc-wildlife,Bbc-wildlife,http://www.bbc.co.uk/nature/,2,2,,,,2,0,,1,2,0,0,0,2,7,1.75,2,1,3,1,2,0.667,14,1.167
human_phenotype_ontology,Human Phenotype Ontology,https://bioportal.bioontology.org/ontologies/HP,,,,,,,,,,,,,,,,,,,,,,,2,0.167
ontology_deb,DEB Ontology,https://projectdebbie.org/,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bioportal,BioPortal,https://bioportal.bioontology.org/,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
obi-ontology.org,OBI Ontology,http://obi-ontology.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
hpo-explorer,HPO Explorer,https://hpo.jax.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
clusterprofiler,ClusterProfiler,https://www.bioconductor.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bluegenes-gene-ontology,BlueGenes Gene Ontology,http://targetmine.mizuguchilab.org/,2,0,,,,2,0,,1,0,0,0,0,0,3,0.75,2,1,1,0.333,0,0,6,0.5
ogg-bacteria,OGG-Bacteria,http://ogg-ontology.org,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
cellxgene-ontology-guide,cellxgene-ontology-guide,https://cellxgene.cziscience.com/,2,0,,,,2,0,,1,0,0,0,0,0,3,0.75,2,1,1,0.333,0,0,6,0.5
zebrafish-anatomical-ontology,Zebrafish Anatomical Ontology,https://zfin.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
human-developmental-anatomy-ontology,Human Developmental Anatomy Ontology,http://uberon.github.io/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
myupheno1,uPheno,http://upheno.org/,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
homology-ontology,Homology Ontology,https://bgee.org/,,,,,,,,,,,,,,,,,,,,,,,,
infectious-disease-ontology,Infectious Disease Ontology,https://bioportal.bioontology.org/ontologies/IDO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
diseasedriversontology,Disease Drivers Ontology,http://www.disease-ontology.org/,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
opioiddrugontology.github.io,Opioid Drug Ontology,https://opioiddrugontology.github.io/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
ucva,Unwarranted Clinical Variation Analysis With Contextual Factors,https://bioportal.bioontology.org/ontologies/UCVA,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
jso,JS Ontology,https://bioportal.bioontology.org/ontologies/JSO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
koio,Knowledge Object Implementation Ontology,https://bioportal.bioontology.org/ontologies/KOIO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
datahub,RADx Data Hub Ontology,https://bioportal.bioontology.org/ontologies/DATAHUB,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
genevieve,Charlotte,https://bioportal.bioontology.org/ontologies/GENEVIEVE,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
gdco,Data Collection Ontology,https://bioportal.bioontology.org/ontologies/GDCO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
tm-other-factors,Traditional Medicine Other Factors Value Set,https://bioportal.bioontology.org/ontologies/TM-OTHER-FACTORS,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
rdao,Rare Diseases Awareness Ontology,https://bioportal.bioontology.org/ontologies/RDAO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
hfo,Heart Failure Ontology,https://bioportal.bioontology.org/ontologies/HFO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
gfvo,Genomic Feature and Variation Ontology,https://bioportal.bioontology.org/ontologies/GFVO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
g4-dsip,Group 4-Data Science in Practice,https://bioportal.bioontology.org/ontologies/G4-DSIP,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
fisho,Fish Ontology,https://bioportal.bioontology.org/ontologies/FISHO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
simon,Simple Measurement Ontology,https://bioportal.bioontology.org/ontologies/SIMON,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
injurytypes,Injury Types,https://bioportal.bioontology.org/ontologies/INJURYTYPES,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
cst,Cancer Staging Terms,https://bioportal.bioontology.org/ontologies/CST,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
cstd,Clinical smell and taste disorders,https://bioportal.bioontology.org/ontologies/CSTD,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
vimm,In Vitro Methodologies Ontology for MAATrica metric,https://bioportal.bioontology.org/ontologies/VIMM,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
ontopbm,Ontology for Process-Based Modeling of Dynamical Systems (OntoPBM),https://bioportal.bioontology.org/ontologies/ONTOPBM,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
icd11-bodysystem,Body System Terms from ICD11,https://bioportal.bioontology.org/ontologies/ICD11-BODYSYSTEM,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
vodanadiseases,VODANADiseases,https://bioportal.bioontology.org/ontologies/VODANADISEASES,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
iso19115mi,ISO 19115 Metadata Information,https://bioportal.bioontology.org/ontologies/ISO19115MI,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
bim,Biomedical Image Ontology,https://bioportal.bioontology.org/ontologies/BIM,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
hmis033b,HMIS 033,https://bioportal.bioontology.org/ontologies/HMIS033B,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
rda-issuance,RDA Mode of Issuance,https://bioportal.bioontology.org/ontologies/RDA-ISSUANCE,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
typon,Microbial Typing Ontology,https://bioportal.bioontology.org/ontologies/TYPON,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
test-m4m20-pav,test-m4m20-subjects-pav,https://bioportal.bioontology.org/ontologies/TEST-M4M20-PAV,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
neudigs,Neuroscience Domain Insight Graph,https://bioportal.bioontology.org/ontologies/NEUDIGS,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
opde,OPD-Ethiopia,https://bioportal.bioontology.org/ontologies/OPDE,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
opdt,opd_test,https://bioportal.bioontology.org/ontologies/OPDT,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
ncod,NCoD,https://bioportal.bioontology.org/ontologies/NCOD,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
lc-media,Library of Congress Media Types Scheme,https://bioportal.bioontology.org/ontologies/LC-MEDIA,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
rnprio,Research Network and Patient Registry Inventory Ontology,https://bioportal.bioontology.org/ontologies/RNPRIO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
nnd_nd,NND_Neuropathological_Diagnosis,https://bioportal.bioontology.org/ontologies/NND_ND,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
iso19115id,ISO 19115 Identification Information,https://bioportal.bioontology.org/ontologies/ISO19115ID,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
rdo,Reusable Biodiversity Ontology,https://bioportal.bioontology.org/ontologies/RDO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
testex,test1,https://bioportal.bioontology.org/ontologies/TESTEX,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
ahso,Animal Health Surveillance Ontology,https://bioportal.bioontology.org/ontologies/AHSO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
imobo,Intelligent Medicine oriented Biobank Ontology,https://bioportal.bioontology.org/ontologies/IMOBO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
rao,Rheumatoid Arthritis ontology,https://bioportal.bioontology.org/ontologies/RAO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
ogroup,Orthologous Group Ontology,https://bioportal.bioontology.org/ontologies/OGROUP,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
cokpme,COKPME - COVID19 Ontology for analyzing the Karnataka Private Medical Establishments Data  ,https://bioportal.bioontology.org/ontologies/COKPME,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
odht,Digital Health Technologies,https://bioportal.bioontology.org/ontologies/ODHT,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
iso19115pr,ISO 19115 Codelists,https://bioportal.bioontology.org/ontologies/ISO19115PR,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
pgxo,PGxO,https://bioportal.bioontology.org/ontologies/PGXO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
top-menelas,Menelas Project Top-Level Ontology,https://bioportal.bioontology.org/ontologies/TOP-MENELAS,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
infrarisk,InfraRisk Ontology,https://bioportal.bioontology.org/ontologies/INFRARISK,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
wc,Whole-cell modeling ontology,https://bioportal.bioontology.org/ontologies/WC,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
vvmm,In Vivo Methodologies Ontology for MAATrica metric,https://bioportal.bioontology.org/ontologies/VVMM,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
gamuts,Radiology Gamuts Ontology,https://bioportal.bioontology.org/ontologies/GAMUTS,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
ecosim,ecosim ontology,https://bioportal.bioontology.org/ontologies/ECOSIM,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
aura,KB_Bio_101,https://bioportal.bioontology.org/ontologies/AURA,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
frmo,Fall Risk Management Ontology ,https://bioportal.bioontology.org/ontologies/FRMO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
plio,Protein-ligand interaction ontology,https://bioportal.bioontology.org/ontologies/PLIO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
flyglycodb,FlyGlycoDB,https://bioportal.bioontology.org/ontologies/FLYGLYCODB,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
ldbase,LDbase,https://bioportal.bioontology.org/ontologies/LDBASE,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
admin,Nurse Administrator,https://bioportal.bioontology.org/ontologies/ADMIN,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
hivhpvstom,HIVHPVStom,https://bioportal.bioontology.org/ontologies/HIVHPVSTOM,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
fplx,FamPlex,https://bioportal.bioontology.org/ontologies/FPLX,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
epso,Epilepsy and Seizure Ontology,https://bioportal.bioontology.org/ontologies/EPSO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
epie,Epigenetic Entity,https://bioportal.bioontology.org/ontologies/EPIE,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
epip,Epigenetic Process,https://bioportal.bioontology.org/ontologies/EPIP,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
land-surface,Land Surface classifiers,https://bioportal.bioontology.org/ontologies/LAND-SURFACE,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
panda,Probabilistic Knowledge Assembly Ontology,https://bioportal.bioontology.org/ontologies/PANDA,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
nnd_ch,NND_Clinical_history,https://bioportal.bioontology.org/ontologies/NND_CH,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
dsip,Pharmacy mock data,https://bioportal.bioontology.org/ontologies/DSIP,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
lcdgt,Library of Congress Demographic Group Terms,https://bioportal.bioontology.org/ontologies/LCDGT,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
sugarbind,SugarBind,https://bioportal.bioontology.org/ontologies/SUGARBIND,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
omv,Ontology Metadata Vocabulary,https://bioportal.bioontology.org/ontologies/OMV,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
apaocuemploy,APA Occupational and Employment cluster,https://bioportal.bioontology.org/ontologies/APAOCUEMPLOY,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
glyco,Glycomics Ontology,https://bioportal.bioontology.org/ontologies/GLYCO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
tm-const,Traditional Medicine Constitution Value Set,https://bioportal.bioontology.org/ontologies/TM-CONST,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
cdmonto,Common Diabetes Medications Ontology,https://bioportal.bioontology.org/ontologies/CDMONTO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
rgd,RRB Group D,https://bioportal.bioontology.org/ontologies/RGD,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
gbol,GBOL,https://bioportal.bioontology.org/ontologies/GBOL,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
tp_rel_fam,Relation familiales,https://bioportal.bioontology.org/ontologies/TP_REL_FAM,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
allergidoc,Allergy Ontology,https://bioportal.bioontology.org/ontologies/ALLERGIDOC,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
haroreado,Halocynthia roretzi Anatomy and Development Ontology,https://bioportal.bioontology.org/ontologies/HAROREADO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
neomark4,"Neomark Oral Cancer Ontology, version 4",https://bioportal.bioontology.org/ontologies/NEOMARK4,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
pmd,Persian Medicine Diseases Ontology,https://bioportal.bioontology.org/ontologies/PMD,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
pmdo,Parkinson and Movement Disorder Ontology,https://bioportal.bioontology.org/ontologies/PMDO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
comodi,COMODI,https://bioportal.bioontology.org/ontologies/COMODI,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
e-ppo,Enhanced Personal Profile Ontology,https://bioportal.bioontology.org/ontologies/E-PPO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
sos,emergÃªncia,https://bioportal.bioontology.org/ontologies/SOS,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
chd,Congenital Heart Defects Ontology,https://bioportal.bioontology.org/ontologies/CHD,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
boshi,boshra,https://bioportal.bioontology.org/ontologies/BOSHI,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
