id,title,url
chem2bio2rdf,Chem2Bio2RDF,http://chem2bio2rdf.org
Naturopathy,Naturopathy Knowledge Graph (Ontology and Dataset) - RDF distribution of the naturopathy dataset.,http://sensormeasurement.appspot.com/dataset/naturopathy-dataset
bioportal-mdr,MedDRA,https://bioportal.bioontology.org/ontologies/MEDDRA
bioportal-spto,Solanaceae Phenotype Ontology,https://bioportal.bioontology.org/ontologies/SPTO
bioportal-ddi,Ontology for Drug Discovery Investigations,https://bioportal.bioontology.org/ontologies/DDI
Hermos,Hermos,https://mcbu-semanticweb-lab.github.io/hermos/
bioportal-mpath,Mouse pathology,https://bioportal.bioontology.org/ontologies/MPATH
bioportal-jerm,SysMO-JERM,https://old.datahub.io/dataset/bioportal-jerm
bioportal-phare,PHARE,https://bioportal.bioontology.org/ontologies/PHARE
disgenet,DisGeNET,https://maayanlab.cloud/Harmonizome/dataset/DisGeNET+Gene-Disease+Associations
cz-sidc-drugs,Medicinal products marketed in Czech Republic,http://linked.opendata.cz/resource/dataset/sukl/drugs
cz-eh-1-atc,ATC groups,https://bioportal.bioontology.org/ontologies/ATC
bioportal-nigo,Neural-Immune Gene Ontology,https://bioportal.bioontology.org/ontologies/NIGO
PubChem RDF,PubChem RDF,https://pubchem.ncbi.nlm.nih.gov/
bioportal-tmo,Translational Medicine Ontology,absent
bioportal-gro,Cereal Plant Development,http://bioportal.bioontology.org/ontologies/1047
bioportal-unitsontology,Units Ontology,https://bioportal.bioontology.org/ontologies/UNITSONT
bioportal-ogmd,Ontology of Glucose Metabolism Disorder,https://bioportal.bioontology.org/ontologies/OGMD
bioportal-nddf,National Drug Data File,https://bioportal.bioontology.org/ontologies/NDDF
bioportal-mo,MGED Ontology,https://bioportal.bioontology.org/ontologies/MO
bioportal-ms,Mass spectrometry,https://bioportal.bioontology.org/ontologies/MS
linked-drugs,LinkedDrugs: Linked Drug Product Data on a Global Scale,http://drugs.linkeddata.finki.ukim.mk/
ontobeef-domain,OntoBeef Domain,http://onto.beef.org.pl/ontobeef
bioportal-ndfrt,National Drug File,https://bioportal.bioontology.org/ontologies/NDFRT
bioportal-ontoorpha,Orphanet Ontology of Rare Diseases,https://bioportal.bioontology.org/ontologies/ORDO
bioportal-air,AI/RHEUM,https://bioportal.bioontology.org/ontologies/AI-RHEUM
bioportal-bcgo,Breast Cancer Grading Ontology,https://bioportal.bioontology.org/ontologies/BCGO
ogolod,Orthology and Diseases Information - OGO,http://miuras.inf.um.es/~ogo/ogolod.html
bioportal-hugo,HUGO,https://bioportal.bioontology.org/ontologies/HGNC
bioportal-neomark,Neomark Oral Cancer Ontology,https://bioportal.bioontology.org/ontologies/NEOMARK3  https://bioportal.bioontology.org/ontologies/NEOMARK4
bioportal-pdq,Physician Data Query,https://bioportal.bioontology.org/ontologies/PDQ
bioportal-cogat,Cognitive Atlas,https://bioportal.bioontology.org/ontologies/COGAT
bio2rdf-affymetrix,Affymetrix,https://www.thermofisher.com
bio2rdf-clinicaltrials,ClinicalTrials.gov,http://clinicaltrials.bio2rdf.org/
bio2rdf-ctd,Comparative ToxicogenomicsÂ ,http://ctd.bio2rdf.org/
bio2rdf-dbsnp,Database of single nucleotide polymorphism,http://dbsnp.bio2rdf.org/
bio2rdf-genage,GenAge: The Ageing Gene Database,http://genage.bio2rdf.org/
bio2rdf-gendr,GenDR: The Dietary Restriction Gene Database,http://gendr.bio2rdf.org/
bio2rdf-hgnc,HUGO Gene Nomenclature CommitteeÂ ,http://hgnc.bio2rdf.org/
bio2rdf-interpro,"Integrated resource of protein families, domains and functional sites",http://interpro.bio2rdf.org/
bio2rdf-iproclass,Integrated Protein Knowledgebase,http://iproclass.bio2rdf.org/
bio2rdf-kegg,Kyoto Encyclopedia of Genes and Genomes,https://www.genome.jp/kegg
bio2rdf-linkedspl,Linked Structured Product Label,https://www.nlm.nih.gov
bio2rdf-lsr,The Life Science Resource Registry,http://lsr.bio2rdf.org/
bio2rdf-ncbigene,NCBI Gene,http://ncbigene.bio2rdf.org/
bio2rdf-omim,Online Mendelian Inheritance in Man,http://omim.bio2rdf.org/
bio2rdf-pathwaycommons,Pathway Commons,https://www.pathwaycommons.org
bio2rdf-reactome,Reactome - a curated knowledgebase of biological pathways,https://reactome.org
bio2rdf-sgd,Saccharomyces Genome Database,http://sgd.bio2rdf.org/
bio2rdf-bioportal,BioPortal,http://bioportal.bio2rdf.org/
lincs-cloview,LINCS Cell Line Ontology View,https://lincsproject.org/
lthido,Linked Terminologies for Human Infectious Diseases,https://bioportal.bioontology.org/ontologies/LTHIDO
ndf-rt,National Drug File - Reference Terminology,https://www.nlm.nih.gov/research/umls/sourcereleasedocs/current/NDFRT/
ogg-at,Ontology of Genes and Genomes - Arabidopsis,http://purl.obolibrary.org/obo/ogg
ogg-bru,Ontology of Genes and Genomes - Brucella,http://purl.obolibrary.org/obo/ogg
ogg-dm,Ontology of Genes and Genomes - Drosophila,http://purl.obolibrary.org/obo/ogg
ogg-sc,Ontology of Genes and Genomes - Yeast,http://purl.obolibrary.org/obo/ogg
reo,Radiological Events Ontology,https://bioportal.bioontology.org/ontologies/REO
sdgio,Sustainable Development Goals Interface Ontology,https://bioportal.bioontology.org/ontologies/SDGIO
uberon-basic,Uberon Basic,http://uberon.github.io/
uberon_collected_metazoa,Uberon Collected Metazoa,http://uberon.github.io/
uberon_depictions,Uberon Depictions,http://uberon.github.io/
